County,"County adult jail incarcerations, average daily population, December",Men imprisoned (total institution population),Women imprisoned,Imprisonments for violent felonies,Imprisonments for property felonies,Imprisonments for drug felonies,Imprisonments for drug possession offenses,Imprisonments for marijuana offenses,Imprisonments for strike offenses,Imprisonments for 3rd strikes,Imprisonments for 2nd strikes,"New felon and parole violator admissions to prison, all","New felon and parole violator admissions to prison, White, not Latino","New felon and parole violator admissions to prison, Latino","New felon and parole violator admissions to prison, Black","New felon and parole violator admissions to prison, Asian/all other","Jailed, unsentenced","Jailed, sentenced",Men jailed,Women jailed,Part I crimes reported to police (number),Violent crimes reported,Property crimes reported,"Adult felony arrests, total (number)",Violent felony arrests,Property felony arrests,Drug felony arrests,Male felony arrests,Female felony arrests,"White, not Latino, felony arrests",Latino felony arrests,African American felony arrests,Asian/other felony arrests,"Total county population, all ages (number), 2011 census adjusted","White, not Latino population",Latino population,Black population,Asian/other population,"Total adult population, age 18-69","Male population, age 18-69","Female population, age 18-69",At Legislative Analyst-estimated cost per prisoner per year,Unnamed: 43,Year,Total adult population in prison (number) as of December 31,"White, not Latino, population imprisoned",Latino population imprisoned,Black population imprisoned,Asian/other population imprisoned,"New felon and parole violator admissions to prison, male","New felon and parole violator admissions to prison, female",New felon and parole violator admissions to prison for violent offenses,New felon and parole violator admissions to prison for property offenses,New felon and parole violator admissions to prison for drug offenses,"Part I crimes reported to police (number), as defined by the California Crime Index (CCI)","Property crimes reported (excluding larceny under $400 and arson, per CCI)","Total county population, all ages (number), using Dept. of Finance table E-2","White, not Latino population age 18-69",Latino population age 18-69,Black population age 18-69,Asian/other population age 18-69,"Total adult population, age 18-69, using Dept. of Finance table P-3",Unnamed: 53,"Imprisonments for 3rd strikes (June 30, 2013)","Imprisonments for 2nd strikes (June 30, 2013)","Part I crimes reported to police (number), as defined by the Criminal Justice Statistics Center","Total county population, all ages (number), July 1, 2013","At Legislative Analyst-estimated cost per prisoner per year, 2013-14","New felon and parole violator admissions to prison, Asian/all other/unknown race","Total county population, all ages (number), July 1, 2014","At Legislative Analyst-estimated cost per prisoner per year, 2014-15",New felon and parole violator admissions to prison who are under age 35 (2014),New felon and parole violator admissions to prison who are age 35 or older (2014),"Total county population, all ages (number), July 1, 2015","Estimated cost per prisoner per year, 2015-16","Total county population, all ages (number), July 1, 2016","Estimated cost per prisoner per year, 2016-17"
Shasta,214.0,1370.0,156.0,720.0,328.0,300.0,129.0,9.0,385.0,75.0,310.0,521.0,393.0,55.0,31.0,42.0,156.0,58.0,186.0,28.0,4002.0,1280.0,2722.0,1684.0,396.0,389.0,415.0,1196.0,488.0,1409.0000000000002,84.0,92.0,99.0,1683.9999999999998,97982.03063119556,8184.13718729272,878.3647604802063,8820.904608695186,115865.43718766369,58850.62813459031,57942.65380215765,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra,6.0,10.0,0.0,6.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,5.0,1.0,46.0,13.0,33.0,40.0,12.0,10.0,6.0,35.0,5.0,35.00000000000001,3.0,0.0,2.0,40.0,1999.7740745231984,158.6012135794663,3.9025931696735543,76.18587998782914,2238.463761260168,1253.6555442537692,1234.3135747289737,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siskiyou,85.0,232.0,11.0,141.0,42.0,27.0,7.0,3.0,48.0,8.0,40.0,49.0,38.0,3.0,2.0,6.0,53.0,32.0,77.0,8.0,630.0,183.0,447.0,623.0,171.0,118.0,176.0,485.0,138.0,488.00000000000006,46.00000000000001,38.0,50.99999999999999,623.0000000000001,24014.70024947054,2566.621650119327,379.8685454823389,2385.3542954496625,29346.54474052187,15009.073461115082,14777.50663016942,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solano,853.0,1522.0,135.0,936.0,341.0,267.0,113.0,2.0,237.0,36.0,201.0,616.0,194.0,86.0,294.0,42.0,640.0,213.0,746.0,107.0,10524.0,2064.0,8460.0,4625.0,1349.0,1004.0,1313.0,3572.0,1053.0,1787.0,931.0,1617.0000000000002,290.0000000000001,4625.0,125079.44137946331,58241.6776597901,41494.74049662338,54276.2663468908,279092.1258827676,139510.9549052551,137358.51626250273,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonoma,955.0,1185.0,78.0,733.0,261.0,135.0,41.0,5.0,221.0,27.0,194.0,455.0,228.0,170.0,37.0,20.0,529.0,426.0,822.0,133.0,6454.0,1917.0,4537.0,4666.0,1179.0,1035.0,1608.0,3610.0,1056.0,2810.999999999998,1305.0000000000002,335.0,215.0000000000001,4665.999999999998,229147.2354425396,71184.63027402872,4793.509617931182,22676.466159040516,327801.84149354004,159640.76036367903,157177.749901178,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanislaus,1278.0,2329.0,187.0,1138.0,683.0,479.0,277.0,10.0,588.0,111.0,477.0,1053.0,502.0,389.0,106.0,56.0,851.0,427.0,1088.0,190.0,14877.0,2721.0,12156.0,8199.0,1909.0,2106.0,2130.0,6307.0,1892.0,3861.000000000003,3196.999999999999,772.9999999999999,368.0,8199.000000000005,167569.113081534,122569.8730616028,8506.641808818647,28085.789247848035,326731.41719980346,157300.40875124573,154873.50630084777,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sutter,233.0,454.0,45.0,223.0,149.0,53.0,25.0,0.0,33.0,7.0,26.0,278.0,162.0,85.0,17.0,14.0,174.0,59.0,185.0,48.0,1354.0,316.0,1038.0,1050.0,391.0,277.0,171.0,743.0,307.0,611.9999999999999,274.0,82.0,82.0,1049.9999999999998,31958.961525788036,15502.398868562565,1176.152465616383,11148.188613330502,59785.701473297486,28234.644702471385,27799.027726275817,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tehama,180.0,398.0,32.0,198.0,66.0,107.0,35.0,17.0,77.0,18.0,59.0,145.0,99.0,40.0,2.0,4.0,107.0,73.0,143.0,37.0,1112.0,387.0,725.0,1082.0,218.0,229.0,449.0,831.0,251.0,802.0,226.00000000000003,25.0,29.0,1082.000000000001,30073.350240712607,7586.907725237402,230.36363330277177,2173.8727236386403,40064.49432289143,20525.436471424153,20208.760675960948,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity,32.0,59.0,3.0,34.0,14.0,8.0,3.0,3.0,13.0,4.0,9.0,23.0,19.0,2.0,1.0,1.0,13.0,19.0,25.0,7.0,145.0,22.0,123.0,234.0,61.0,47.0,63.0,186.0,48.0,187.0,25.0,3.0,19.0,234.00000000000003,8014.427717455921,533.5959309654281,40.84780429958507,800.6227754692809,9389.494228190217,4933.411142593331,4857.296225373284,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulare,1481.0,2766.0,185.0,1604.0,661.0,419.0,179.0,17.0,620.0,109.0,511.0,909.0,259.0,570.0,49.0,31.0,701.0,780.0,1267.0,214.0,11353.0,2230.0,9123.0,6908.0,1905.0,1703.0,1613.0,5425.0,1483.0,1935.9999999999995,4476.000000000001,344.00000000000006,151.99999999999997,6907.999999999999,97603.41657902463,150295.80988672853,3646.7440949199545,14742.048908763594,266288.0194694367,134125.7212813484,132056.3684791325,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuolumne,113.0,246.0,25.0,125.0,55.0,58.0,17.0,6.0,67.0,5.0,62.0,82.0,67.0,10.0,1.0,4.0,63.0,50.0,82.0,31.0,827.0,158.0,669.0,800.0,147.0,192.0,197.0,567.0,233.0,713.0000000000002,56.00000000000001,12.000000000000002,19.000000000000004,800.0000000000002,30604.35559977742,3990.715689789538,1125.890655506178,1758.9137989055453,37479.87574397868,19476.655521207744,19176.16079658992,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ventura,1527.0,2154.0,134.0,1302.0,444.0,366.0,154.0,6.0,433.0,75.0,358.0,828.0,269.0,491.0,49.0,19.0,982.0,545.0,1299.0,228.0,9717.0,2021.0,7696.0,7821.0,2027.0,1977.0,1930.0,6138.0,1683.0,3024.0,4199.000000000001,397.00000000000017,200.99999999999991,7820.999999999999,280288.35929482087,201655.96339578996,9589.133452765847,48644.9831112097,540178.4392545864,268803.8722477226,264656.6435061489,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yolo,404.0,1072.0,92.0,471.0,246.0,330.0,113.0,6.0,249.0,27.0,222.0,528.0,212.0,189.0,75.0,52.0,317.0,87.0,354.0,50.0,3535.0,556.0,2979.0,2163.0,493.0,478.0,573.0,1670.0,493.0,1052.0000000000002,733.9999999999999,248.99999999999997,128.00000000000003,2162.999999999999,73707.93282487565,37348.94261218224,3321.3462697745076,27185.63157615572,141563.85328298813,67414.3579947916,66374.25853218755,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuba,417.0,487.0,51.0,299.0,107.0,82.0,24.0,3.0,67.0,12.0,55.0,203.0,135.0,42.0,14.0,12.0,365.0,52.0,353.0,64.0,1162.0,279.0,883.0,1145.0,331.0,331.0,200.0,857.0,288.0,768.0,184.0,117.0,76.00000000000001,1145.0,29164.523443234066,9684.872583945094,1424.557949852674,5598.728498694538,45872.68247572637,23303.599534631627,22944.060972318497,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alameda,3821.0,4116.0,155.0,3276.0,558.0,359.0,72.0,25.0,615.0,138.0,477.0,1249.0,125.0,232.0,808.0,84.0,3201.0,620.0,3518.0,303.0,40927.0,10468.0,30459.0,14991.0,3076.0,3547.0,5125.0,12029.0,2962.0,3174.000000000001,3171.000000000002,7337.000000000001,1309.0000000000005,1513493.0,379270.4882332224,221663.06207052697,130709.423986949,325188.7056034962,1056831.6798941945,519017.0,535550.0,45828.0,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine,0.0,6.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,50.0,10.0,40.0,15.0,6.0,0.0,3.0,13.0,2.0,6.0,3.0,0.0,6.0,1147.0,626.7409929839861,37.021778034880874,0.0,146.20353753519873,809.9663085540657,436.0,382.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amador,85.0,186.0,19.0,87.0,35.0,48.0,28.0,2.0,51.0,13.0,38.0,101.0,68.0,13.0,7.0,13.0,44.0,41.0,72.0,13.0,571.0,110.0,461.0,507.0,87.0,49.0,172.0,351.0,156.0,401.99999999999994,55.0,13.000000000000002,37.0,37907.0,20646.533800066405,3409.681123374843,868.9342486004598,1314.34293707068,26239.49210911239,15011.0,11355.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butte,535.0,1197.0,128.0,664.0,284.0,269.0,149.0,25.0,164.0,42.0,122.0,555.0,386.0,94.0,53.0,22.0,401.0,134.0,472.0,63.0,4235.0,762.0,3473.0,1924.0,527.0,467.0,617.0,1417.0,507.0,1525.9999999999998,209.0000000000001,107.0,81.99999999999999,220024.0,115136.7677275905,19588.829468319047,2245.847216593928,12713.082793782669,149684.52720628612,75279.0,74541.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calaveras,62.0,102.0,9.0,56.0,16.0,27.0,20.0,2.0,13.0,0.0,13.0,46.0,38.0,2.0,1.0,5.0,37.0,25.0,53.0,9.0,640.0,93.0,547.0,460.0,148.0,69.0,159.0,342.0,118.0,393.00000000000006,41.0,9.999999999999998,16.000000000000004,45258.00000000012,25752.120281825773,2870.089554141762,213.01296982824536,1525.2704291862538,30360.493234982037,15172.0,15205.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colusa,46.0,86.0,8.0,55.0,18.0,9.0,3.0,0.0,7.0,3.0,4.0,38.0,20.0,16.0,1.0,1.0,30.0,16.0,35.0,11.0,381.0,48.0,333.0,277.0,63.0,53.0,44.0,202.0,75.0,137.0,116.00000000000004,12.000000000000002,12.0,21452.0,5760.388752643541,7060.020800294019,87.86183368077775,509.0517471859712,13417.323133804308,6841.0,6485.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contra Costa,1577.0,1823.0,59.0,1453.0,290.0,97.0,14.0,5.0,316.0,89.0,227.0,467.0,128.0,119.0,191.0,29.0,1366.0,211.0,1375.0,202.0,24266.0,4326.0,19940.0,10509.0,2330.0,3083.0,3165.0,8239.0,2270.0,4183.999999999996,2162.9999999999995,3547.999999999998,614.0000000000003,1052192.0,349996.1471075568,159776.22549274372,62694.1086641611,129741.45045799088,702207.9317224525,341317.0,358041.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Del Norte,103.0,131.0,7.0,96.0,20.0,11.0,3.0,0.0,18.0,6.0,12.0,32.0,23.0,4.0,0.0,5.0,66.0,37.0,81.0,22.0,609.0,111.0,498.0,525.0,175.0,109.0,139.0,383.0,142.0,452.0,24.0,10.0,38.99999999999999,28576.999999999945,12928.3877812902,3681.8651658659423,1030.433151825601,2234.4355562439487,19875.121655225692,11627.0,8217.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Dorado,300.0,426.0,38.0,266.0,100.0,61.0,28.0,5.0,82.0,17.0,65.0,181.0,130.0,28.0,7.0,16.0,149.0,151.0,254.0,46.0,2360.0,485.0,1875.0,1682.0,486.0,325.0,383.0,1244.0,438.0,1405.0,173.00000000000003,43.0,61.0,181183.0,99491.8710665854,13461.205020905909,877.5881873158208,8560.540615475795,122391.20489028293,61462.0,61038.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresno,1751.0,4507.0,256.0,2843.0,902.0,596.0,361.0,21.0,982.0,196.0,786.0,1758.0,382.0,967.0,294.0,115.0,1530.0,221.0,1567.0,184.0,28584.0,4976.0,23608.0,13345.0,3692.0,3071.0,3331.0,10710.0,2635.0,3402.000000000001,7210.999999999994,2002.999999999999,729.0000000000003,933074.9999999992,210351.83315356713,281553.09793042723,29626.201275211304,68692.26460606093,590223.3969652666,295800.0,292251.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenn,78.0,121.0,5.0,68.0,21.0,23.0,5.0,3.0,15.0,2.0,13.0,51.0,29.0,16.0,1.0,5.0,55.0,23.0,63.0,15.0,448.0,73.0,375.0,428.0,103.0,82.0,132.0,325.0,103.0,265.99999999999994,121.99999999999996,14.0,26.000000000000007,28188.0,10295.0091384298,6321.331360340463,118.91717930256496,1001.0569811263084,17736.314659199135,9043.0,8642.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humboldt,373.0,593.0,35.0,323.0,115.0,128.0,69.0,13.0,42.0,2.0,40.0,313.0,230.0,20.0,8.0,55.0,273.0,100.0,313.0,60.0,3044.0,529.0,2515.0,2079.0,458.0,406.0,652.0,1575.0,504.0,1695.9999999999998,97.99999999999994,58.99999999999999,225.99999999999997,134575.0,76089.5857788391,8550.723815083013,1100.0359313281122,9857.09055777495,95597.43608302515,48629.0,46899.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imperial,555.0,389.0,21.0,209.0,87.0,89.0,26.0,5.0,48.0,13.0,35.0,197.0,30.0,144.0,17.0,6.0,418.0,137.0,504.0,51.0,3748.0,618.0,3130.0,2469.0,496.0,628.0,919.0,1973.0,496.0,437.0,1844.000000000001,133.0,55.00000000000001,175594.0,16745.467818360787,86903.27463959031,4657.414450000224,3028.9654457621364,111335.12235371346,57722.0,52927.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inyo,72.0,66.0,5.0,44.0,9.0,9.0,1.0,0.0,6.0,1.0,5.0,21.0,13.0,4.0,1.0,3.0,36.0,36.0,62.0,10.0,218.0,69.0,149.0,210.0,68.0,40.0,60.0,164.0,46.0,125.0,33.99999999999999,4.0,46.99999999999999,18627.0,8430.314938510726,2081.597019316085,82.0323362295426,1598.1039190633055,12192.04821311966,6214.0,5932.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kern,2313.0,4605.0,346.0,2259.0,1053.0,1204.0,716.0,37.0,1349.0,412.0,937.0,2362.0,810.0,1112.0,402.0,38.0,1890.0,423.0,2045.0,268.0,25109.0,4879.0,20230.0,13611.0,3681.0,3582.0,3549.0,10714.0,2897.0,5074.999999999999,6372.000000000002,1940.0000000000005,224.00000000000003,841744.0000000021,223022.31887781937,247553.25401395716,30804.60717218762,35641.82857003703,537022.0086340012,281529.0,253624.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kings,336.0,1451.0,153.0,746.0,325.0,337.0,149.0,19.0,386.0,127.0,259.0,678.0,178.0,371.0,96.0,33.0,189.0,147.0,285.0,51.0,2232.0,533.0,1699.0,1400.0,352.0,258.0,316.0,1068.0,332.0,430.00000000000006,757.0000000000003,135.0,77.99999999999999,153020.0,38542.28195559115,48597.27500528643,8702.633199189584,6422.140476844914,102264.33063691208,61149.0,41112.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,200.0,377.0,25.0,232.0,69.0,61.0,33.0,9.0,75.0,12.0,63.0,154.0,98.0,27.0,12.0,17.0,149.0,51.0,177.0,23.0,1439.0,292.0,1147.0,1047.0,299.0,164.0,298.0,775.0,272.0,780.9999999999998,141.99999999999997,67.00000000000003,57.000000000000014,64466.0,33388.65836846543,6582.461289685862,778.6364765162989,2748.391963610171,43498.148098277765,21822.0,21522.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lassen,67.0,133.0,12.0,85.0,26.0,19.0,6.0,3.0,31.0,14.0,17.0,59.0,40.0,8.0,4.0,7.0,48.0,19.0,59.0,8.0,427.0,118.0,309.0,334.0,100.0,64.0,63.0,239.0,95.0,274.99999999999994,29.999999999999996,6.0,23.000000000000004,34730.0,16943.9761857767,4986.908661643099,2902.7342612606744,1653.7513075434763,26487.37041622395,18038.0,8280.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,15119.0,50720.0,3220.0,33002.0,9196.0,8262.0,2920.0,542.0,15253.0,3190.0,12063.0,19047.0,2967.0,8966.0,6367.0,747.0,10712.0,4407.0,13486.0,1633.0,200091.0,50223.0,149868.0,108997.0,28800.0,27824.0,32126.0,86645.0,22352.0,20965.0,53888.999999999985,28832.999999999993,5310.000000000002,9827070.0,1976709.2538088523,3028267.4684625086,566421.1547705918,1118865.243399838,6690263.120441791,3306288.0,3367697.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madera,369.0,566.0,81.0,359.0,123.0,131.0,62.0,8.0,156.0,40.0,116.0,204.0,60.0,105.0,31.0,8.0,242.0,127.0,321.0,48.0,2960.0,654.0,2306.0,1287.0,399.0,246.0,271.0,1062.0,225.0,446.0,721.0,71.0,48.99999999999999,151160.0,39201.633039822795,49044.71813330901,4128.642656736856,4425.546775117677,96800.54060498637,45413.0,50983.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marin,288.0,405.0,15.0,244.0,96.0,43.0,15.0,1.0,110.0,48.0,62.0,118.0,50.0,22.0,38.0,8.0,233.0,55.0,256.0,32.0,3569.0,520.0,3049.0,1613.0,473.0,447.0,419.0,1214.0,399.0,871.0000000000001,374.00000000000017,268.00000000000006,100.00000000000004,252767.0,125621.78497315796,26868.664789676463,5630.479980798141,14420.379241956483,172541.30898558907,85567.0,86473.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mariposa,35.0,68.0,8.0,44.0,15.0,5.0,3.0,2.0,13.0,5.0,8.0,29.0,21.0,3.0,1.0,4.0,19.0,16.0,28.0,7.0,219.0,37.0,182.0,237.0,64.0,44.0,47.0,192.0,45.0,151.00000000000003,62.999999999999986,8.0,15.0,18119.0,10519.240195268969,1046.8735169041804,98.14984364652504,797.049992994609,12461.313548814283,6414.0,6078.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mendocino,232.0,339.0,18.0,216.0,48.0,55.0,12.0,9.0,34.0,2.0,32.0,122.0,70.0,28.0,8.0,16.0,133.0,99.0,204.0,28.0,1424.0,488.0,936.0,1433.0,353.0,274.0,496.0,1098.0,335.0,972.0000000000002,240.00000000000017,38.0,183.0,87939.0,43000.33291094932,11652.813874301391,411.92390601275093,4591.831156328684,59656.90184759215,30102.0,29417.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merced,619.0,1052.0,53.0,636.0,219.0,143.0,73.0,5.0,235.0,41.0,194.0,381.0,101.0,198.0,56.0,26.0,439.0,180.0,571.0,48.0,5978.0,1448.0,4530.0,3618.0,960.0,860.0,1076.0,2872.0,746.0,1098.0000000000002,1961.0,393.99999999999994,165.00000000000009,256386.0,56200.93862167754,82246.7997930491,5803.783008885648,14755.85195102828,159007.37337464056,80259.0,78482.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modoc,16.0,27.0,0.0,21.0,4.0,1.0,1.0,0.0,4.0,0.0,4.0,6.0,3.0,3.0,0.0,0.0,9.0,7.0,12.0,4.0,114.0,17.0,97.0,178.0,62.0,36.0,33.0,137.0,41.0,129.00000000000003,22.000000000000004,4.0,23.0,9676.00000000001,5103.663579768167,763.3092530469312,52.041214704479735,360.9608447516357,6279.974892271214,3166.0,3125.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mono,26.0,25.0,3.0,13.0,9.0,3.0,2.0,0.0,6.0,2.0,4.0,7.0,4.0,1.0,0.0,2.0,18.0,8.0,25.0,1.0,244.0,59.0,185.0,144.0,40.0,43.0,34.0,117.0,27.0,90.0,42.00000000000001,1.0,11.0,14114.0,7566.844541794686,2361.7032020497236,29.67744725219217,442.4179821980324,10400.643173294637,5618.0,4762.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monterey,1024.0,1604.0,111.0,1059.0,236.0,274.0,114.0,8.0,369.0,38.0,331.0,648.0,157.0,405.0,68.0,18.0,749.0,275.0,912.0,112.0,8208.0,2037.0,6171.0,3996.0,1250.0,931.0,984.0,3137.0,859.0,1168.999999999999,2357.0000000000005,328.00000000000006,142.0,415824.9999999993,96071.15926518403,144303.3984612784,8768.661542079826,24810.20754263646,273953.42681117874,143328.0,129684.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Napa,253.0,361.0,19.0,206.0,81.0,56.0,14.0,7.0,89.0,21.0,68.0,168.0,65.0,79.0,18.0,6.0,167.0,86.0,226.0,27.0,2047.0,651.0,1396.0,1405.0,328.0,305.0,326.0,1131.0,274.0,720.9999999999998,475.9999999999999,134.99999999999994,73.0,136681.0,52700.94910353216,27686.35616368083,1782.002185236561,8714.570550972494,90883.87800342204,45752.0,44813.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,171.0,127.0,9.0,86.0,27.0,17.0,8.0,2.0,23.0,6.0,17.0,40.0,22.0,11.0,1.0,6.0,86.0,85.0,141.0,30.0,1169.0,311.0,858.0,770.0,210.0,172.0,268.0,591.0,179.0,673.0000000000001,66.0,13.0,18.0,98484.00000000016,58166.68489005462,5383.996652839671,235.19430551289983,2949.653364714948,66735.52921312214,33198.0,33529.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange,6015.0,8321.0,480.0,4957.0,1756.0,1502.0,743.0,33.0,1813.0,395.0,1418.0,3547.0,1336.0,1704.0,243.0,264.0,3341.0,2674.0,5272.0,743.0,39450.0,6907.0,32543.0,23142.0,5090.0,6290.0,8152.0,17800.0,5342.0,9997.999999999996,9845.999999999984,1253.000000000001,2044.9999999999995,3017089.0,932628.607299705,638497.2574257954,33997.07197253531,433713.46132321074,2038836.3980212463,1010132.0,1021185.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Placer,487.0,944.0,75.0,405.0,294.0,201.0,89.0,5.0,312.0,51.0,261.0,393.0,283.0,56.0,27.0,27.0,320.0,167.0,420.0,67.0,4989.0,785.0,4204.0,3338.0,633.0,904.0,886.0,2465.0,873.0,2515.0,423.00000000000006,242.00000000000009,158.00000000000003,350609.0,174699.26689325785,27716.694000603115,3148.132334802771,22267.984554862924,227832.07778352665,110739.0,115505.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plumas,42.0,59.0,2.0,37.0,11.0,11.0,1.0,1.0,9.0,0.0,9.0,25.0,19.0,4.0,2.0,0.0,26.0,17.0,35.0,8.0,351.0,109.0,242.0,293.0,91.0,45.0,84.0,226.0,67.0,252.0,19.0,11.0,11.0,19993.0,11894.943888313086,990.951767449502,127.28579564782116,704.3940332414295,13717.57548465184,6880.0,6839.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverside,3154.0,10089.0,664.0,6215.0,2158.0,1694.0,754.0,70.0,2933.0,503.0,2430.0,3598.0,1158.0,1635.0,713.0,92.0,2459.0,695.0,2776.0,378.0,43062.0,6605.0,36457.0,18420.0,4579.0,4850.0,5205.0,14228.0,4192.0,6805.999999999999,8398.999999999996,2608.9999999999995,606.0,2191800.0,582546.7814959765,596181.3950018723,89512.5544438712,125439.2760083524,1393680.0069500722,693673.0,695769.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento,4168.0,7226.0,375.0,4919.0,1272.0,948.0,329.0,23.0,2250.0,557.0,1693.0,2154.0,637.0,405.0,898.0,214.0,2447.0,1721.0,3731.0,437.0,40426.0,8551.0,31875.0,16470.0,4498.0,4458.0,4105.0,12734.0,3736.0,6471.000000000003,3092.999999999999,5742.000000000002,1164.0,1420447.0,485608.1345799812,186537.70814650084,93571.15278526489,180747.35845329484,946464.3539650418,463552.0,481036.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Benito,125.0,141.0,13.0,75.0,30.0,38.0,21.0,3.0,17.0,6.0,11.0,80.0,19.0,60.0,0.0,1.0,86.0,39.0,106.0,19.0,1096.0,213.0,883.0,500.0,164.0,109.0,99.0,387.0,113.0,156.00000000000003,326.0,7.999999999999999,10.0,55350.0,14543.296492596855,19222.812920158707,266.891975385453,1765.8107325120436,35798.812120653056,17864.0,17789.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,5275.0,11280.0,844.0,6403.0,2732.0,2012.0,808.0,136.0,2770.0,620.0,2150.0,5832.0,1696.0,2534.0,1459.0,143.0,4344.0,931.0,4390.0,885.0,43268.0,9017.0,34251.0,29544.0,7382.0,8929.0,8786.0,22522.0,7022.0,9887.000000000007,12907.000000000002,5847.000000000001,903.0,2038771.0,481352.649499131,608260.4695167728,114099.41218048152,119520.43527588132,1323232.9664722665,655783.0,663580.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego,4680.0,11170.0,730.0,6769.0,2494.0,1993.0,605.0,141.0,3807.0,678.0,3129.0,4014.0,1358.0,1410.0,939.0,307.0,3006.0,1674.0,3982.0,698.0,54126.0,11639.0,42487.0,29142.0,8142.0,6842.0,9035.0,22324.0,6818.0,12332.999999999998,9381.999999999996,5303.000000000001,2123.999999999998,3104581.0,1080884.4811069765,630963.0928066437,105353.05928815906,313110.54618170904,2130311.179383488,1078064.0,1044897.0,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
